ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.11,16.67,51.11,6.11,0.0
28.24,13.29,50.83,7.31,0.33
26.69,12.81,52.31,7.47,0.71
24.49,11.22,54.08,9.86,0.34
26.95,14.97,50.6,7.49,0.0
27.76,10.73,53.31,7.89,0.32
27.6,12.8,52.0,7.2,0.4
24.84,13.52,53.77,7.86,0.0
26.87,13.3,52.35,7.48,0.0
26.4,12.73,53.73,7.14,0.0
25.33,13.33,54.67,6.67,0.0
27.24,12.18,52.56,8.01,0.0
26.69,10.93,54.66,7.07,0.64
24.81,12.41,54.51,7.89,0.38
24.9,12.45,55.02,7.63,0.0
26.83,12.2,53.66,7.32,0.0
24.66,13.18,54.05,8.11,0.0
26.86,13.83,51.33,7.98,0.0
26.06,14.98,51.47,7.17,0.33
25.77,12.5,53.83,7.65,0.26
25.37,15.67,50.37,8.58,0.0
29.8,14.14,50.51,5.56,0.0
25.78,13.59,53.66,6.97,0.0
28.43,12.69,51.02,7.61,0.25
24.41,12.6,53.54,9.45,0.0
26.07,13.93,52.14,7.86,0.0
27.73,11.85,52.84,7.58,0.0
25.66,13.82,52.63,7.57,0.33
24.64,11.79,54.64,8.93,0.0
25.0,12.97,54.43,7.59,0.0
25.42,14.58,52.5,7.5,0.0
26.67,14.55,50.91,7.88,0.0
26.59,14.61,51.69,7.12,0.0
25.78,14.29,54.01,5.92,0.0
27.24,13.62,51.5,7.31,0.33
27.12,13.9,51.86,7.12,0.0
26.9,15.2,51.46,5.85,0.58
26.84,14.34,52.21,6.62,0.0
26.27,13.98,52.54,7.2,0.0
27.09,12.57,52.51,7.82,0.0
26.6,12.77,53.19,7.45,0.0
26.27,13.92,51.58,7.91,0.32
26.54,11.0,54.37,8.09,0.0
24.71,13.9,54.05,6.95,0.39
28.75,13.42,51.12,6.71,0.0
26.79,10.9,54.83,7.48,0.0
25.35,14.75,53.0,6.91,0.0
25.35,13.54,53.12,7.99,0.0
25.0,12.5,54.0,8.0,0.5
26.29,12.75,54.18,6.77,0.0
25.64,13.55,50.55,9.89,0.37
24.36,16.05,51.58,8.02,0.0
26.09,13.04,53.36,7.51,0.0
